State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
ND-Soil Amendment,ND,North Dakota,Soil Amendment,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant","Seed,Soil",0,,,Yes,Yes,Registration,Biennial,06,$50.00,$50.00,,$/Registration,,,Sara Timmer,stimmer@nd.gov,,,(701) 328-1500,reg@nd.gov,North Dakota Dept of Ag,Online Portal,http://www.kellysolutions.com/nd/,Label,2 Months,30,Easy,,No,,,,,Online Portal,Updated labels,Online Portal,http://www.kellysolutions.com/nd/,,http://www.kellysolutions.com/nd/,https://www.ndda.nd.gov/divisions/pesticide-fertilizer-division/fertilizer-program,"Name Change,Guarantee Change,Registrant Change",,,,North Dakota Dept of Ag,600 E Boulevard Ave,Department 602,Bismark,ND,58505,Biostimulant,"13,74,383,426,215,249,574,599,623,648,875,963,1040,1278,1363,1364,1365,1366,1367,1814,1902,1901,3672,3987,4576,5208,5263,5571,5637,5638,5639,6636,8466,8890,9278,9902,10051,10124,10282,10987,11547,11625,11780,11858,11936,12014,12092,12170,12248,12326,12404,12482,12560,12638,12716,13213,13316,13928,14065","VER-ND-ALL NON-PEST-Product Registration,TBP-ND-ALL NON-PEST-Product Registration,MBF-ND-ALL NON-PEST-Product Registration,NLS-ND-ALL NON-PEST-Product Registration,COR-ND-ALL NON-PEST-Product Registration,AGR-ND-ALL NON-PEST-Product Registration,GWB-ND-ALL NON-PEST-Product Registration,EEA-ND-ALL NON-PEST-Product Registration,SYM-ND-ALL NON-PEST-Product Registration,BIN-ND-ALL NON-PEST-Product Registration,ABM-ND-ALL NON-PEST-Product Registration","13,74,215,249,383,426,574,599,623,648,875,963,1040,1278,1363,1364,1365,1366,1367,1814,1901,1902,3672,3987,4576,5208,5263,5571,5637,5638,5639,6636,8466,8890,9278,9902,10051,10124,10282,10987,11547,11625,11780,11858,11936,12014,12092,12170,12248,12326,12404,12482,12560,12638,12716,13213,13316",,Pre-approval before payment.,,,Mid Year
NE-Beneficial Substance,NE,Nebraska,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,NE Dept of Ag,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-Commercial Fertilizer,NE,Nebraska,Commercial Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Label Submission,One-time,12,$0.00,$0.00,,,,,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,Email,https://nda.nebraska.gov/forms/commercial-fertilizer-label-submission.pdf,Label,1 Month,30,Challenging,,Yes,,,,,Paper/Mail,Updated labels,,https://nda.nebraska.gov/forms/commercial-fertilizer-label-submission.pdf,,,https://nda.nebraska.gov/index.html,,,,,Nebraska Department of Agriculture,Bureau of Plant Industry,PO Box 94756,Lincoln,NE,68509,Fertilizer,"13487,13720",,,,,,,End of Year
NE-Commercial Fertilizer > 10lbs,NE,Nebraska,Commercial Fertilizer > 10lbs,,Fertilizer,N/A,> 0,,> 10 lbs,No,Yes,Label Submission,One-time,12,$0.00,$0.00,,,,,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,Email,,Label,1 Month,30,Challenging,,Yes,,,,,Paper/Mail,Updated labels,Email,,,,https://nda.nebraska.gov/index.html,,,,,Nebraska Department of Agriculture,Bureau of Plant Industry,PO Box 94756,Lincoln,NE,68509,Fertilizer,"728,729,1641,2282,2995,3060,3126,3189,3252,3315,3440,3503,3597,3728,3792,3856,3920,4042,4108,4172,4236,4313,4377,4448,4512,4631,4695,4759,4823,4888,4952,5016,5144,5365,5439,5508,5788,5831,6642,6806,8676,8701,8758,9052,9118,9184,9563,9564,9565,9566,9567,9568,9569,9570,9571,9572,9573,9574,9575,9977,10532,10665,11152,11255,11358,11461,12786,13129",,"728,729,1641,2282,2995,3060,3126,3189,3252,3315,3440,3503,3597,3728,3792,3856,3920,4042,4108,4172,4236,4313,4377,4448,4512,4631,4695,4759,4823,4888,4952,5016,5144,5365,5439,5508,5788,5831,6642,6806,8676,8701,8758,9052,9118,9184,9563,9564,9565,9566,9567,9568,9569,9570,9571,9572,9573,9574,9575,9977,10532,10665,12786",,,,,End of Year
NE-Commercial Fertilizer ≤ 10lbs,NE,Nebraska,Commercial Fertilizer ≤ 10lbs,,Fertilizer,N/A,> 0,,≤ 10 lbs,No,No,Label Submission,Annual,12,$0.00,$0.00,,,,$0.00,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,Email,,Label,1 Month,30,Challenging,,No,,,,,Email,,Email,,,,https://nda.nebraska.gov/index.html,"Name Change,Guarantee Change,Registrant Change",,,,Nebraska Department of Agriculture,Bureau of Plant Industry,PO Box 94756,Lincoln,NE,68509,Fertilizer,"127,368,1643,2283,2996,3061,3127,3190,3253,3316,3441,3504,3598,3729,3793,3857,3921,4043,4109,4173,4237,4314,4378,4449,4513,4632,4696,4760,4824,4889,4953,5017,5145,5366,5440,5509,5794,5832,6014,9053,9119,9185,9978,10533,10666,11153,11256,11359,11462,12787,13130",,"127,368,1643,2283,2996,3061,3127,3190,3253,3316,3441,3504,3598,3729,3793,3857,3921,4043,4109,4173,4237,4314,4378,4449,4513,4632,4696,4760,4824,4889,4953,5017,5145,5366,5440,5509,5794,5832,6014,9053,9119,9185,9978,10533,10666,12787",,,,,End of Year
NE-Commercial Fertilizer/Soil Conditioners License ,NE,Nebraska,Commercial Fertilizer/Soil Conditioners License ,checked,Amendment/Conditioner,,,,,,,License,,,$15.00,,,,,,Donene Lewis,donene.lewis@nebraska.gov,,,,,,Online Portal,,,,30,,,,,,,,Online Portal,,,https://nda.nebraska.gov/online/ffal.html,,https://nda.nebraska.gov/online/tonnage.html,https://nda.nebraska.gov/index.html,,,,,,,,,,,,"13412,13517",,,https://nda.nebraska.gov/online/ffal.html,,,,
NE-Lime License,NE,Nebraska,Lime License,,Liming Material,N/A,,,,No,Yes,License,Annual,12,$5.00,$5.00,,$/License,,,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,Paper/Mail,,,,30,,,,,,,,Online Portal,,,https://nda.nebraska.gov/online/ffal.html,,https://nda.nebraska.gov/online/tonnage.html,https://nda.nebraska.gov/index.html,,,,,,,,,,,,10717,,10717,https://nda.nebraska.gov/online/ffal.html,,,,End of Year
NE-Lime Material,NE,Nebraska,Lime Material,,Liming Material,N/A,,,,No,Yes,Label Submission,Annual,06,$0.00,$0.00,,$/Registration,,,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,Email,https://nda.nebraska.gov/forms/ff44.pdf,Label,,30,,,,,,,,Email,,,,,,https://nda.nebraska.gov/index.html,,,,,,,,,,,,"9558,9559,9560,9561,9562",,"9558,9559,9560,9561,9562",,,,,Mid Year
NE-Lime Reporting,NE,Nebraska,Lime Reporting,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,$0.1000,$/Ton Sold,,,"Breanne ""Bre"" Lewis-Jones",Breanne.lewis-jones@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,,,,,,,,,,,,,,,,,Online Portal,https://nda.nebraska.gov/online/tonnage.html,https://nda.nebraska.gov/index.html,,,,,,,,,,,Tonnage,9001,,9001,,,,07,
NE-Permit for Fertilizer,NE,Nebraska,Permit for Fertilizer,,Fertilizer,N/A,> 0,,,No,No,License,Annual,12,$15.00,$15.00,,$/License,,,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,Paper/Mail,,,1 Month,30,,,,,,,,Online Portal,,,https://nda.nebraska.gov/online/ffal.html,,https://nda.nebraska.gov/online/tonnage.html,https://nda.nebraska.gov/index.html,,,,,Nebraska Department of Agriculture,Bureau of Plant Industry,PO Box 94756,Lincoln,NE,68509,Fertilizer,"1038,1060,1061,1062,1063,1265,1640,2023,2284,2643,3547,5608,6013,6805,7871,8116,8637,9226,10711,10867,13450","TBP-ND-ALL NON-PEST-License + Tonnage,AGR-ND-ALL NON-PEST-License + Tonnage,COR-ND-ALL NON-PEST-License + Tonnage,SYM-ND-ALL NON-PEST-License + Tonnage,VER-ND-ALL NON-PEST-License + Tonnage,MBF-ND-ALL NON-PEST-License + Tonnage,SAG-ND-ALL NON-PEST-License + Tonnage,GWB-ND-ALL NON-PEST-License + Tonnage,BOR-NE-ALL NON-PEST-License + Tonnage,OMY-NE-ALL NON-PEST-License + Tonnage,EEA-ND-ALL NON-PEST-License + Tonnage,SYM-ND-ALL NON-PEST-License + Tonnage,ABM-ND-ALL NON-PEST-License + Tonnage,ABM-ND-ALL NON-PEST-License + Tonnage,PLL-NE-ALL NON-PEST-ALL,EEA-NE-ALL NON-PEST-ALL,ARB-NE-ALL NON-PEST-,SYM-NE-ALL NON-PEST-,GWB-NE-ALL NON-PEST-,VER-NE-ALL NON-PEST-,VER-NE-ALL NON-PEST-,BIN-NE-ALL NON-PEST-,IBA-NE-ALL NON-PEST-,TBP-NE-ALL NON-PEST-,SAG-NE-ALL NON-PEST-","1038,1060,1061,1062,1063,1265,1640,2023,2284,2643,3547,5608,6013,6805,7871,8116,8637,9226,10711,10867,13450",https://nda.nebraska.gov/online/ffal.html,,,,End of Year
NE-Retail Commercial Fertilizer Tonnage,NE,Nebraska,Retail Commercial Fertilizer Tonnage,,Fertilizer,N/A,> 0,,,No,Yes,Tonnage/Mill,Semi-Annual,,,,$0.1000,$/Ton Sold,,,"Breanne ""Bre"" Lewis-Jones",Breanne.lewis-jones@nebraska.gov,,,(402) 471-2351,,NE Dept of Ag,,,,,,,,,,,,,,,,,Online Portal,,https://nda.nebraska.gov/index.html,,,,"Retail Only.  If licensee only sells commercial, no sales reporting.",Nebraska Department of Agriculture,Bureau of Plant Industry,,,,,Tonnage,"2043,2044,2288,2494,5669,6693,6944,8026,10843,13356,13357,13358",,"2043,2044,2288,2494,5669,6693,6944,8026,10843,13357",,,,"01,07",
NE-Soil Conditioner,NE,Nebraska,Soil Conditioner,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant","Seed,Soil",0,,,Yes,No,Registration,One-time,,$0.00,$0.00,,$/Registration,,,Donene Lewis,donene.lewis@nebraska.gov,,,(402) 471-2351,donene.lewis@nebraska.gov,NE Dept of Ag,Email,https://nda.nebraska.gov/forms/148.pdf,Label,1 Month,30,Challenging,"Technically required per the regulations, but very rarely requested.",No,,,,,Online Portal,Updated labels,Online Portal,,,,https://nda.nebraska.gov/index.html,"Name Change,Guarantee Change,Registrant Change",,,Improves yield and soil,Nebraska Department of Agriculture,Bureau of Plant Industry,PO Box 94756,Lincoln,NE,68509,Biostimulant,"75,96,139,160,181,216,250,280,367,425,572,597,621,647,874,955,1093,1094,1095,1096,1097,1165,1266,1399,1642,1639,1981,2285,2286,2287,2456,2469,2559,2589,3664,3979,4568,5200,5255,5572,5640,5641,5642,5730,6046,6098,6142,2448,6397,6490,6533,6567,6603,7009,7061,7708,7573,7639,7242,7375,7309,7441,7507,7176,7838,7913,8151,8226,8290,8354,8467,8891,9271,9903,10052,10125,10204,10283,10597,10818,10988,11060,11548,11626,11781,11859,11937,12015,12093,12171,12249,12327,12405,12483,12561,12639,12717,12857,13214,13317,13929,13930,14027,14108",,"75,96,139,160,181,216,250,280,367,425,572,597,621,647,874,955,1093,1094,1095,1096,1097,1165,1266,1399,1639,1642,1981,2285,2286,2287,2448,2456,2469,2559,2589,3664,3979,4568,5200,5255,5572,5640,5641,5642,5730,6046,6098,6142,6397,6490,6533,6567,6603,7009,7061,7176,7242,7309,7375,7441,7507,7573,7639,7708,7838,7913,8151,8226,8290,8354,8467,8891,9271,9903,10052,10125,10204,10283,10597,10818,10988,11060,12857,13317,11937,11859,12015,13214,12093,12171,12249,12561",,,,,
NH-Ag Liming Material,NH,New Hampshire,Ag Liming Material,,Liming Material,N/A,,,,No,Yes,Registration,Annual,12,$50.00,$50.00,,$/Registration,,$0.00,,,,,,,"Treasurer, State of NH",Paper/Mail,https://www.agriculture.nh.gov/publications-forms/documents/liming-materials-application.pdf,Label,,30,,,,,,,,Paper/Mail,Updated labels,,,,,https://www.agriculture.nh.gov/divisions/regulatory-services/product-registration.htm,,,,,,,,,,,,"9591,9592,9593,9594,9595,9596,9597,9598,9599,9600,9601,9602,9603,9604,9605,9606,9607,9608",,"9591,9592,9593,9594,9595,9596,9597,9598,9599,9600,9601,9602,9603,9604,9605,9606,9607,9608",,,,,End of Year
NH-Beneficial Substance,NH,New Hampshire,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,"Treasurer, State of NH",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH-Fertilizer,NH,New Hampshire,Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,12,$75.00,$75.00,,$/Registration,,$0.00,,registrations@agr.nh.gov,,,(603) 271-3530,registrations@agr.nh.gov,"Treasurer, State of NH",Paper/Mail,https://www.agriculture.nh.gov/publications-forms/documents/fertilizer-application.pdf,"Label,SDS",2 Months,30,Easy,,,,,,,Paper/Mail,Updated labels,Email,,,,https://www.agriculture.nh.gov/divisions/regulatory-services/product-registration.htm,"Name Change,Guarantee Change,Registrant Change",,,,"New Hampshire Department of Agriculture, Markets and Food",Division of Regulatory Services,PO Box 2042 (25 Capital St),Concord,NH,03302,Fertilizer,"128,372,1150,1151,2998,3063,3129,3192,3255,3318,3443,3506,3600,3730,3794,3858,3922,4044,4110,4174,4238,4315,4379,4450,4514,4633,4697,4761,4825,4890,4954,5018,5146,5368,5442,5511,5833,6364,6810,6811,6812,8638,8698,8759,9054,9120,9186,9979,10534,10667,11154,11257,11360,11463,12788,13131,13722",DEL-NH-ALL NON-PEST-Tonnage Report,"128,372,1150,1151,2998,3063,3129,3192,3255,3318,3443,3506,3600,3730,3794,3858,3922,4044,4110,4174,4238,4315,4379,4450,4514,4633,4697,4761,4825,4890,4954,5018,5146,5368,5442,5511,5833,6364,6810,6811,6812,8638,8698,8759,9054,9120,9186,9979,10534,10667,12788,11154,11257,13131,11360",,,,,End of Year
NH-Inspection Fees and Tonnage Reports,NH,New Hampshire,Inspection Fees and Tonnage Reports,,"Fertilizer,Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent",N/A,,,,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.2000,$/Ton Sold,$15.00,$10.00,,registrations@agr.nh.gov,,,(603) 271-3685,registrations@agr.nh.gov,"Treasurer, State of NH",,,,,,,,,,,,,,,,,Paper/Mail,https://www.agriculture.nh.gov/publications-forms/documents/fertilizer-tonnage-report.pdf,https://www.agriculture.nh.gov/divisions/regulatory-services/product-registration.htm,,,,,"New Hampshire Department of Agriculture, Markets and Food",Division of Regulatory Services,25 Capital Street,,,,Tonnage,"1783,1784,5670,5887,6694,6945,10847",DEL-NH-ALL NON-PEST-Tonnage Report,"1783,1784,5670,5887,6694,6945,10847",,,,"01,07",
NH-Liming Material Annual Tonnage,NH,New Hampshire,Liming Material Annual Tonnage,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,$0.0000,$/Ton Sold,,,,,,,,,"Treasurer, State of NH",,,,,,,,,,,,,,,,,Paper/Mail,https://www.agriculture.nh.gov/publications-forms/documents/lime-tonnage-report.pdf,https://www.agriculture.nh.gov/divisions/regulatory-services/product-registration.htm,,,,,,,,,,,Tonnage,8871,,8871,,,,01,
NH-Soil Amendment,NH,New Hampshire,Soil Amendment,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant",N/A,0,,,Yes,No,No Regulation,,,,,,,,,,,,,,,"Treasurer, State of NH",,,,,,,,,,,,,,,,,,,https://www.agriculture.nh.gov/divisions/regulatory-services/product-registration.htm,,,,Soil conditioners not found,"New Hampshire Department of Agriculture, Markets and Food",Division of Regulatory Services,,,,,Biostimulant,"371,920,957,1145,1146,1147,1148,1149,1268,1456,1982,2289,2560,2590,3666,3981,4570,5202,5257,5573,5731,6047,6099,6143,6169,6195,6221,6247,6273,6299,6325,6398,7741,7604,7670,7273,7406,7340,7472,7538,7207,7819,8181,8227,8291,8355,8468,8917,9273,9904,10126,10205,10284,10598,10819,10989,11061,11549,11627,11782,11860,11938,12016,12094,12172,12250,12328,12406,12484,12562,12640,12718,12858,13215,13798,13799,13800,13801,13802,13803,13804,13805,13806,14021",DEL-NH-ALL NON-PEST-Tonnage Report,"371,920,957,1145,1146,1147,1148,1149,1268,1456,1982,2289,2560,2590,3666,3981,4570,5202,5257,5573,5731,6047,6099,6143,6169,6195,6221,6247,6273,6299,6325,6398,7207,7273,7340,7406,7472,7538,7604,7670,7741,7819,8181,8227,8291,8355,8468,8917,9273,9904,10126,10205,10284,10598,10819,10989,11061,12858,11549,11627,11782,11938,11860,12016,13215,12094,12172,12250,12328,12406,12484,12562,12640,12718",,,,,
NJ-Ag Liming Annual Tonnage,NJ,New Jersey,Ag Liming Annual Tonnage,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,$0.0500,$/Ton Sold,,,,,,,,,NJ Dept of Ag,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,,,,,,,,,,,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,Online Portal,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,,,,,,,Tonnage,8927,,8927,,,,01,
NJ-Ag Liming Materials License/Permit,NJ,New Jersey,Ag Liming Materials License/Permit,,Liming Material,N/A,,,,No,Yes,License,Annual,12,$250.00,$250.00,,$/License,,,,,,,,,NJ Dept of Ag,Paper/Mail,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,,30,,,,,,,,Online Portal,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,,,,,,,,10848,,10848,,,,,End of Year
NJ-Beneficial Substance,NJ,New Jersey,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,NJ Dept of Ag,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,,30,,,,,,,,,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,,,,,,,,,,,,,,,
NJ-Commercial Fertilizer,NJ,New Jersey,Commercial Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Label Submission,Annual,06,$0.00,$0.00,,,,,,AgChem@ag.nj.gov,,,(609) 913-6506,AgChem@ag.nj.gov,NJ Dept of Ag,Online Portal,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,Label,1 Month,30,Easy,,,,,,,Online Portal,Updated labels,Online Portal,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,NJ Dept of Ag / Div Mktg,State Chemist,PO Box 330,Trenton,NJ,???,Fertilizer,"129,374,493,494,492,491,162,161,2999,3064,3130,3193,3256,3319,3444,3507,3601,3731,3795,3859,3923,4045,4111,4175,4239,4316,4380,4451,4515,4634,4698,4762,4826,4891,4955,5019,5147,5369,5443,5512,5834,5998,6814,8639,8723,8760,9055,9121,9187,9980,10535,10668,11155,11258,11361,11464,12789,13132,13461,13723","EEA-NJ-ALL NON-PEST-ALL,ARB-NJ-ALL NON-PEST-ALL,BOR-NJ-ALL NON-PEST-ALL,OMY-NJ-ALL NON-PEST-ALL,GWB-NJ-ALL NON-PEST-ALL,PLL-NJ-ALL NON-PEST-ALL,SYM-NJ-ALL NON-PEST-ALL,VER-NJ-ALL NON-PEST-ALL","129,161,162,374,491,492,493,494,2999,3064,3130,3193,3256,3319,3444,3507,3601,3731,3795,3859,3923,4045,4111,4175,4239,4316,4380,4451,4515,4634,4698,4762,4826,4891,4955,5019,5147,5369,5443,5512,5834,5998,6814,8639,8723,8760,9055,9121,9187,9980,10535,10668,12789,11155,11258,13132,11361,11464",,,,,Mid Year
NJ-Inspection Fee,NJ,New Jersey,Inspection Fee,,Fertilizer,N/A,,,,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.3000,$/Ton Sold,,$10.00,,AgChem@ag.nj.gov,,,(609) 913-6506,AgChem@ag.nj.gov,NJ Dept of Ag,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,,,,,,,,,,,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,Online Portal,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,,,,,,,Tonnage,"1170,1196,1271,1333,5671,6695,6946,10880","EEA-NJ-ALL NON-PEST-ALL,ARB-NJ-ALL NON-PEST-ALL,BOR-NJ-ALL NON-PEST-ALL,OMY-NJ-ALL NON-PEST-ALL,GWB-NJ-ALL NON-PEST-ALL,PLL-NJ-ALL NON-PEST-ALL,SYM-NJ-ALL NON-PEST-ALL,VER-NJ-ALL NON-PEST-ALL","1170,1196,1271,1333,5671,6695,6946,10880",,,,"01,07",
NJ-Lime Product,NJ,New Jersey,Lime Product,,Liming Material,N/A,,,,,,Label Submission,Annual,12,,,,,,,,,,,,,NJ Dept of Ag,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,,30,,,,,,,,Online Portal,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,,,,,,,,"9609,9610,9611,9612",,"9609,9610,9611,9612",,,,,End of Year
NJ-Manufactuer/Distribution License,NJ,New Jersey,Manufactuer/Distribution License,,Fertilizer,N/A,> 0,,,No,No,License,Annual,06,$500.00,$500.00,,$/License,,,,AgChem@ag.nj.gov,,,(609) 913-6506,AgChem@ag.nj.gov,NJ Dept of Ag,"Paper/Mail,Online Portal",https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,1 Month,30,,,,,,,,Online Portal,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,NJ Dept of Ag / Div Mktg,State Chemist,PO Box 330,Trenton,NJ,???,Fertilizer,"197,373,490,845,1269,2024,2642,3548,5603,5997,6813,7877,8122,8640,9227,10944,13436,13518","EEA-NJ-ALL NON-PEST-ALL,ARB-NJ-ALL NON-PEST-ALL,BOR-NJ-ALL NON-PEST-ALL,OMY-NJ-ALL NON-PEST-ALL,GWB-NJ-ALL NON-PEST-ALL,PLL-NJ-ALL NON-PEST-ALL,SYM-NJ-ALL NON-PEST-ALL,VER-NJ-ALL NON-PEST-ALL","197,373,490,845,1269,2024,2642,3548,5603,5997,6813,7877,8122,8640,9227,10944,13436",,,,,Mid Year
NJ-Manufactuer/Distributor License ADD LOCs,NJ,New Jersey,Manufactuer/Distributor License ADD LOCs,,Fertilizer,N/A,> 0,,,No,No,License,Annual,06,$0.00,$0.00,,$/License,,,,AgChem@ag.nj.gov,,,(609) 913-6506,AgChem@ag.nj.gov,NJ Dept of Ag,"Paper/Mail,Online Portal",https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,1 Month,30,,,,,,,,Online Portal,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,NJ Dept of Ag / Div Mktg,State Chemist,PO Box 330,Trenton,NJ,???,Fertilizer,8784,,8784,,,,,Mid Year
NJ-Microbial Inoculant,NJ,New Jersey,Microbial Inoculant,,Biological Inoculant,N/A,0,,,Yes,No,No Regulation,,,,,,,,,,AgChem@ag.nj.gov,,,,AgChem@ag.nj.gov,NJ Dept of Ag,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,,,,,,,,,,,,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,,,,,,,Biostimulant,"1401,1983,2290,6048,6100,6144,6170,6196,6222,6248,6274,6300,6326,6399,7742,7605,7671,7274,7407,7341,7473,7539,7208,7820,8182,8228,8292,8356,76,140,217,281,1152,1153,8469,9274,9905,10127,10206,10285,10990,11062,11550,11628,11783,11861,11939,12017,12095,12173,12251,12329,12407,12485,12563,12641,12719,12859,13216,14001",,"76,140,217,281,1152,1153,1401,1983,2290,6048,6100,6144,6170,6196,6222,6248,6274,6300,6326,6399,7208,7274,7341,7407,7473,7539,7605,7671,7742,7820,8182,8228,8292,8356,8469,9274,9905,10127,10206,10285,10990,11062,12859,11550,11628,11783,11939,11861,12017,13216,12095,12173,12251,12329,12407,12485,12563,12641,12719",,,,,
